,job_name,norm_job_submit_time,ddl,A100,GTX2080Ti,V100
0,d68a61452843d3a3110fa6bb,0.0,inf,1160.0,2100.0,3385.0
1,84fc70ace43a61297730d1ac,0.0,19609.0,4460.0,7052.0,11452.0
2,ebbf541ba7700a682e2856c4,0.0,inf,6037.0,9511.0,14711.0
3,77af431f8057de4935643669,0.0,inf,5548.0,9193.0,13722.0
4,875b5248e2eb0dc02f917daf,0.0,inf,10604.0,15716.0,24741.0
5,d6f8b9a81642566a6b82a897,0.0,inf,1894.0,3428.0,4916.0
6,0f1f2e622c559a2b76bb24d3,0.0,inf,20260.0,29712.0,49552.0
7,cb7f46f1e7b2890deca93cbb,0.0,inf,28116.0,48903.0,75328.0
8,de8765aaef417caef81d9a07,0.0,inf,1139.0,2044.0,2751.0
9,e2c0115a31d728b2252c6611,0.0,48615.0,25761.0,36478.0,62502.0
10,953580617cb35c4ced655c1c,0.0,inf,6219.0,9373.0,13696.0
11,a4fdb281f2201145bc0c34e4,0.0,inf,14276.0,24488.0,37039.0
12,9dafb9266db83adc48f31e97,0.0,inf,4782.0,8303.0,14474.0
13,f6facf3dfdaebe89fb5bbcd8,0.0,inf,5295.0,9218.0,15060.0
14,9907274861c78e645e19c53c,0.0,inf,2415.0,4262.0,6379.0
15,b63a6c689f91f4737509d9b5,0.0,inf,1064.0,1748.0,2653.0
16,6b10dfd79b165225fe0e60c7,0.0,inf,4823.0,7323.0,11630.0
17,0426f718e8e83a53938ab2b0,0.0,inf,2124.0,3510.0,5307.0
18,62f7f808fa409923730876d5,0.0,inf,1991.0,3722.0,5144.0
19,4e5b1d9ba28a6684af1236f7,0.0,inf,1855.0,3029.0,4785.0
20,e0b7091087ecfaa79410b625,0.0,inf,2203.0,3141.0,4956.0
21,68811768629e3fed1f2a80fe,0.0,5561.0,1282.0,2535.0,3409.0
22,a8b60ce54bf821f9fd5e1805,0.0,inf,4700.0,9422.0,11920.0
23,a60b6cf0925a0d0224ebeca6,0.0,inf,4001.0,7457.0,11425.0
24,2c3e7f313340e4bd732ddd5c,0.0,inf,3059.0,5228.0,7402.0
25,410b6e679c31fe187339ea6c,0.0,5634.0,2607.0,4135.0,6519.0
26,42cf43d82f2517d2ab3f12fa,0.0,inf,1130.0,1885.0,2842.0
27,d1bc7bf285adcf398396daf5,0.0,inf,2636.0,3843.0,4900.0
28,208a050d414b333e6cb4f465,0.0,inf,2485.0,4734.0,6305.0
29,f2d8f9944e06887f7d2652a8,0.0,inf,5499.0,9816.0,14487.0
30,0f2ba0514041c62cfa9fc19d,0.0,inf,2040.0,3690.0,4984.0
31,8f88433969118f84ddc4f349,0.0,inf,2257.0,4400.0,6053.0
32,54e6737db7993eadc4eec77d,0.0,inf,1820.0,3419.0,5403.0
